study_hours_per_day,attendance_percentage,previous_exam_score,assignments_completed,sleep_hours,participation_in_class,internet_usage_time,extra_study_activities,stress_level,final_score
5.1,91.4,56.2,44.9,7.7,medium,4.2,0,low,99.0
4.9,92.2,70.4,63.2,8.0,low,7.3,1,medium,99.0
5.0,100.0,82.3,87.0,5.9,medium,4.5,1,medium,99.0
6.1,80.2,82.7,60.3,5.7,medium,0.0,1,medium,99.0
5.1,79.4,79.2,86.4,8.1,medium,8.2,1,low,99.0
5.8,91.7,61.4,93.6,5.6,medium,0.1,0,medium,99.0
4.8,92.2,71.3,72.5,7.7,medium,3.0,1,medium,99.0
5.2,78.6,66.8,65.5,8.9,medium,1.4,1,medium,99.0
5.7,80.0,68.4,72.9,8.9,low,2.1,0,low,99.0
2.4,89.4,97.5,65.5,7.9,medium,3.9,1,high,99.0
4.2,75.7,48.1,78.5,7.9,low,0.0,1,medium,99.0
3.9,79.9,67.9,81.5,9.6,medium,3.2,1,medium,99.0
3.7,84.9,86.8,75.4,4.5,high,5.5,1,medium,99.0
4.3,94.0,51.9,100.0,6.6,medium,1.9,0,high,99.0
7.1,78.0,62.6,69.2,8.0,medium,0.9,0,medium,99.0
3.3,65.6,64.1,100.0,6.7,high,3.1,1,medium,99.0
6.2,64.8,68.1,64.4,8.5,low,2.8,1,medium,99.0
2.0,71.4,50.3,81.1,7.1,high,2.3,0,medium,83.6
4.2,70.9,78.7,97.7,7.2,high,1.3,0,medium,99.0
5.0,82.5,79.7,97.0,6.8,medium,4.3,1,high,99.0
5.6,72.1,77.6,73.7,6.5,low,4.5,0,high,99.0
5.8,77.0,59.7,88.3,6.5,low,1.5,1,medium,99.0
6.0,76.3,72.1,86.3,7.4,high,1.7,1,low,99.0
4.1,79.6,59.3,71.9,6.2,medium,3.6,0,medium,99.0
4.0,97.2,66.7,89.2,8.1,high,1.7,0,high,99.0
6.1,90.6,99.0,100.0,7.8,medium,3.7,1,high,99.0
4.4,84.2,72.2,87.1,8.3,medium,6.0,0,low,99.0
2.7,79.4,55.6,88.5,5.9,medium,3.3,0,low,93.1
2.9,79.7,73.3,90.1,5.2,medium,1.2,0,low,99.0
3.2,87.3,53.4,58.1,7.1,medium,4.1,0,high,83.6
5.5,89.8,55.4,86.9,10.0,high,3.1,1,medium,99.0
4.9,74.9,57.5,64.7,8.5,medium,3.1,0,medium,99.0
5.8,84.4,65.2,71.2,6.5,high,4.3,1,medium,99.0
4.0,63.7,83.2,100.0,7.6,high,4.6,1,medium,99.0
5.0,86.1,78.5,76.2,7.9,low,3.5,1,high,99.0
5.7,91.6,77.8,68.9,5.6,medium,3.3,0,medium,99.0
4.2,81.2,56.7,97.3,8.6,low,7.1,1,medium,99.0
5.4,100.0,64.0,65.8,6.9,medium,5.6,1,high,99.0
3.6,75.2,74.5,73.3,7.0,high,4.9,0,medium,99.0
4.1,86.2,62.8,98.7,7.1,high,3.6,1,high,99.0
4.1,83.6,67.4,80.6,8.4,high,1.6,1,high,99.0
2.8,83.0,76.7,56.6,6.3,medium,5.4,1,low,99.0
5.5,82.9,66.5,88.2,5.2,medium,3.7,0,low,99.0
3.9,85.1,73.9,74.1,7.5,medium,2.4,1,low,99.0
4.7,92.5,91.7,100.0,4.9,high,3.0,1,high,99.0
5.5,97.8,68.8,70.9,6.8,low,1.7,1,high,99.0
5.4,84.0,86.3,95.8,8.4,low,5.3,0,medium,99.0
5.8,92.2,78.3,100.0,7.7,low,4.6,0,high,99.0
4.5,77.0,51.9,67.2,8.2,low,3.7,1,high,97.3
4.0,91.7,56.7,77.1,7.8,low,3.3,0,high,93.7
4.6,76.4,60.2,85.8,9.8,low,2.2,0,medium,99.0
2.0,94.9,59.9,67.1,6.5,high,0.0,0,low,99.0
2.4,100.0,69.8,84.1,7.5,high,0.9,1,high,99.0
2.6,82.8,79.0,76.6,6.6,medium,2.1,1,high,99.0
3.1,62.1,87.3,76.3,8.2,high,1.8,0,high,99.0
5.3,78.5,75.0,80.7,7.0,medium,3.9,1,high,99.0
3.3,96.3,65.2,81.1,9.0,high,4.9,1,medium,99.0
4.1,89.5,43.9,82.5,6.5,medium,3.2,1,medium,99.0
6.8,86.5,71.9,71.0,8.6,medium,5.9,1,medium,99.0
4.1,94.1,71.3,71.7,7.8,medium,2.0,0,medium,99.0
5.9,88.8,73.4,78.2,7.1,low,3.2,1,medium,99.0
3.2,96.2,98.4,79.3,7.7,medium,3.3,0,low,99.0
4.4,93.2,87.1,73.4,7.4,high,5.4,0,low,99.0
3.2,99.2,81.2,84.9,7.5,high,3.6,1,medium,99.0
4.2,87.6,58.5,52.8,6.9,medium,3.6,1,high,99.0
6.0,93.1,64.3,69.0,6.3,medium,0.4,1,medium,99.0
1.9,80.9,69.8,75.8,6.7,high,1.8,1,medium,85.5
5.4,78.0,60.9,67.2,5.2,low,5.4,0,low,99.0
5.1,100.0,77.5,100.0,8.0,low,0.0,0,medium,99.0
3.7,86.2,75.6,80.3,5.7,medium,5.8,0,medium,99.0
2.4,92.0,56.9,82.7,6.9,medium,4.3,0,medium,98.5
4.8,85.2,86.6,72.8,7.8,medium,2.1,1,high,99.0
3.9,78.1,72.3,79.8,8.0,low,1.9,0,medium,99.0
5.1,84.1,48.5,61.8,5.1,medium,6.8,1,medium,99.0
4.7,98.4,70.3,77.5,7.0,medium,5.9,1,high,99.0
7.3,89.6,74.7,65.9,7.6,high,3.2,1,low,99.0
4.3,66.9,83.6,75.8,7.2,medium,3.6,1,medium,99.0
3.1,81.8,66.6,41.6,8.6,medium,2.2,0,low,97.6
5.0,100.0,81.8,63.1,6.2,high,3.6,0,medium,99.0
5.1,81.9,73.4,100.0,4.8,high,2.2,1,high,99.0
6.9,66.0,53.9,92.5,8.0,medium,3.3,1,medium,99.0
6.0,100.0,52.6,99.8,6.5,medium,6.7,0,medium,99.0
5.3,90.8,85.6,100.0,5.2,medium,3.2,0,low,99.0
7.0,83.3,86.5,90.1,6.9,medium,1.5,1,medium,99.0
2.8,80.3,75.2,73.2,8.5,medium,0.9,1,high,96.8
3.7,94.8,90.4,64.4,5.7,high,3.6,1,medium,99.0
3.2,78.6,84.7,97.2,9.7,high,2.0,0,high,99.0
4.1,95.5,79.9,81.0,6.2,high,3.8,0,low,99.0
2.5,89.4,59.2,100.0,7.2,medium,0.5,1,low,99.0
5.7,86.4,93.5,74.5,5.8,high,4.6,1,medium,99.0
4.3,85.5,78.0,100.0,7.1,high,1.5,1,high,99.0
2.3,82.3,66.0,77.6,7.0,low,3.5,0,low,97.9
3.1,94.5,62.3,100.0,5.5,medium,2.8,1,high,95.4
5.2,75.3,74.3,100.0,10.0,low,6.5,0,low,99.0
6.0,67.8,49.3,64.7,6.6,medium,3.7,0,medium,99.0
7.9,90.1,80.1,72.7,6.6,medium,6.9,1,medium,99.0
9.0,90.3,58.6,64.5,8.2,medium,4.4,1,medium,99.0
5.4,88.8,75.8,61.6,9.1,low,6.0,1,medium,99.0
3.1,88.1,64.2,90.0,8.3,medium,3.0,1,low,99.0
1.3,80.8,67.6,77.1,5.8,low,4.0,0,high,80.3
5.1,91.9,61.2,80.8,7.3,medium,5.6,0,medium,99.0
3.4,83.5,68.9,88.3,5.0,high,5.0,1,low,99.0
4.0,79.1,95.6,52.1,8.1,high,4.4,0,medium,99.0
3.7,80.9,89.0,99.3,5.3,medium,2.8,1,low,99.0
4.5,100.0,75.6,74.8,6.2,medium,3.1,0,medium,99.0
6.4,66.7,70.7,88.0,7.1,high,5.4,0,medium,99.0
5.0,89.0,82.0,89.3,7.6,low,5.8,1,low,99.0
4.4,67.2,85.7,100.0,6.8,high,2.3,1,medium,99.0
3.0,82.9,60.2,78.4,8.8,high,2.1,0,medium,96.5
2.0,79.7,70.0,48.1,7.9,medium,1.8,1,high,91.0
3.9,63.1,47.3,80.9,7.8,low,4.9,0,high,83.3
4.6,87.9,85.6,83.0,5.7,low,1.7,1,medium,99.0
7.5,80.2,97.8,64.5,9.0,medium,4.9,1,high,99.0
4.9,63.0,72.0,82.2,6.2,medium,4.4,0,medium,99.0
6.3,92.4,43.4,74.6,9.0,high,2.4,1,medium,99.0
3.9,98.4,78.9,59.9,9.3,medium,6.2,1,low,99.0
2.8,98.9,59.2,90.1,7.7,medium,0.8,1,low,99.0
3.2,87.6,62.4,71.5,8.2,medium,6.4,1,medium,99.0
3.5,84.5,79.1,73.9,4.0,medium,4.0,1,low,99.0
8.1,97.3,74.3,73.1,6.9,low,0.0,1,medium,99.0
3.4,100.0,64.7,98.5,8.3,medium,6.3,1,medium,99.0
6.0,95.3,62.6,79.4,8.1,medium,5.1,1,low,99.0
3.3,74.6,72.6,81.2,5.8,high,2.6,0,medium,99.0
6.2,86.0,65.7,73.4,6.8,medium,1.7,0,medium,99.0
5.3,88.4,56.6,86.9,4.3,medium,0.6,1,high,99.0
4.4,65.9,66.7,100.0,7.6,high,7.7,0,high,99.0
4.6,88.7,75.4,89.7,5.0,medium,1.7,0,medium,99.0
3.7,100.0,68.7,90.3,8.3,high,1.1,0,high,99.0
5.4,90.4,52.6,89.1,8.4,medium,3.9,0,medium,99.0
4.0,98.7,83.9,59.3,6.6,high,0.5,1,low,99.0
2.7,85.8,35.4,66.9,7.7,medium,1.6,1,medium,85.6
2.7,83.3,65.2,76.9,6.9,medium,5.2,0,medium,89.3
5.0,87.8,62.9,69.1,7.4,high,4.2,1,low,99.0
7.2,75.8,72.9,64.0,5.8,low,2.7,0,medium,99.0
5.0,74.4,78.3,51.9,7.8,high,3.4,0,high,99.0
4.5,96.7,85.6,59.8,5.3,medium,2.6,1,high,99.0
5.2,97.7,61.7,76.2,5.1,low,3.3,1,high,99.0
6.8,74.1,78.6,79.0,7.0,low,2.0,0,medium,99.0
5.1,93.7,73.5,68.1,6.9,high,2.4,1,medium,99.0
4.0,83.1,48.7,81.2,7.4,high,2.3,0,high,99.0
6.5,87.4,95.7,73.5,6.4,medium,2.1,0,medium,99.0
5.4,88.6,52.3,96.4,9.2,low,5.3,1,medium,99.0
7.2,93.9,76.5,77.6,7.3,medium,4.8,1,medium,99.0
5.0,84.8,76.1,90.4,7.4,medium,1.7,1,medium,99.0
2.7,98.1,74.6,83.0,7.3,high,1.3,0,medium,99.0
2.5,87.1,64.6,59.0,8.2,medium,3.1,1,medium,99.0
7.3,90.2,81.8,78.6,7.7,medium,7.3,1,low,99.0
7.5,75.7,50.7,61.5,7.6,low,1.6,1,high,99.0
4.4,100.0,70.1,78.4,7.9,medium,3.1,1,medium,99.0
4.1,88.7,63.7,68.8,5.1,medium,3.6,1,low,99.0
7.0,91.1,62.2,85.7,5.1,medium,3.2,1,medium,99.0
2.9,67.9,76.6,59.9,7.0,medium,2.6,0,high,94.6
3.3,75.8,85.0,80.2,6.9,high,5.5,1,medium,99.0
5.7,96.4,66.5,88.6,7.7,medium,4.2,0,medium,99.0
4.1,86.9,81.1,93.6,7.1,high,4.9,0,medium,99.0
4.7,64.9,71.6,68.5,7.7,medium,4.5,0,high,99.0
4.4,94.4,59.4,80.3,5.7,low,5.0,0,medium,99.0
5.2,78.6,67.6,82.8,7.1,high,6.3,1,medium,99.0
7.0,98.1,67.1,100.0,5.6,medium,5.8,0,medium,99.0
4.8,83.1,61.9,57.8,7.5,medium,7.6,1,high,99.0
5.7,86.0,76.6,66.3,5.0,low,5.6,1,low,99.0
1.4,95.8,74.1,100.0,7.5,medium,2.2,0,low,95.5
4.6,75.0,50.3,75.9,5.5,high,4.9,1,medium,99.0
3.4,74.1,49.5,51.6,6.7,medium,4.7,1,medium,86.4
2.7,82.0,76.5,71.3,8.1,low,6.9,0,medium,89.2
3.3,92.3,60.4,38.5,7.4,medium,1.7,1,medium,99.0
4.2,70.7,74.9,83.6,5.3,medium,4.4,1,medium,99.0
6.2,67.3,81.2,92.1,6.4,high,2.2,1,high,99.0
2.6,92.2,54.5,66.3,5.4,medium,4.3,1,low,98.2
4.7,78.0,52.7,72.9,5.2,high,3.0,1,high,99.0
3.9,80.1,92.8,93.9,7.2,medium,4.3,1,low,99.0
4.2,65.4,75.6,53.7,7.7,medium,0.9,1,high,99.0
6.3,77.2,65.5,60.2,7.6,medium,4.8,0,medium,99.0
5.6,83.9,58.9,76.6,7.8,medium,3.8,0,medium,99.0
6.8,93.3,64.4,68.7,7.1,high,3.7,0,low,99.0
4.5,76.3,55.5,75.6,6.8,low,6.9,1,medium,99.0
3.6,100.0,82.5,61.0,5.9,medium,2.7,0,high,99.0
4.3,77.2,60.9,83.2,6.6,high,4.0,0,medium,99.0
5.1,77.2,85.2,77.8,5.6,medium,3.6,0,high,99.0
5.0,99.4,65.8,88.2,6.2,low,3.8,1,medium,99.0
3.0,86.1,57.4,83.0,7.2,high,7.4,1,medium,99.0
4.8,78.5,65.5,83.1,7.0,medium,3.5,1,high,99.0
5.1,82.4,36.9,58.3,10.0,high,2.4,0,medium,99.0
8.7,97.5,69.4,87.4,5.6,medium,6.8,1,high,99.0
7.7,98.7,68.8,75.0,7.0,low,2.8,0,medium,99.0
3.3,75.8,81.7,77.5,5.5,medium,0.5,1,medium,99.0
4.2,83.6,46.5,95.7,6.7,medium,2.1,0,high,99.0
2.4,84.9,86.1,69.2,6.7,high,1.2,1,low,99.0
3.8,74.1,81.7,100.0,8.0,medium,0.2,1,low,99.0
5.2,83.4,87.3,100.0,6.6,high,2.7,1,low,99.0
6.6,84.1,70.3,91.3,6.9,medium,3.3,0,medium,99.0
3.5,95.4,84.2,65.3,6.6,medium,5.5,1,medium,99.0
3.7,96.1,51.9,47.2,5.6,low,4.5,1,low,93.8
1.3,80.7,80.3,96.2,6.4,medium,4.5,0,low,85.1
4.4,81.9,61.0,81.7,6.7,medium,1.8,0,medium,99.0
3.0,90.6,49.5,68.8,7.2,medium,5.0,0,medium,91.4
3.9,78.1,56.4,97.6,7.7,high,5.9,0,low,99.0
3.3,89.9,71.1,67.1,6.8,medium,4.1,1,low,99.0
4.5,83.1,60.3,73.6,6.8,medium,4.2,0,high,98.8
1.9,74.3,75.9,87.9,5.2,low,1.1,1,high,74.3
2.4,74.4,47.5,63.3,7.7,high,5.3,0,medium,84.7
8.1,98.5,43.3,78.4,6.3,low,6.6,0,medium,99.0
2.6,82.4,88.8,96.3,7.9,medium,4.0,1,low,99.0
2.9,100.0,82.7,83.2,8.5,low,2.3,1,medium,99.0
7.6,78.9,57.4,98.7,6.9,low,3.1,0,medium,99.0
9.0,86.9,71.0,97.0,6.0,medium,2.6,0,high,99.0
2.8,100.0,84.3,80.1,7.1,medium,2.8,0,high,99.0
4.1,73.4,76.4,44.9,7.5,medium,4.6,0,medium,99.0
5.2,65.0,72.9,63.4,6.8,medium,3.9,1,low,99.0
7.5,96.9,85.2,91.5,6.5,high,5.2,1,medium,99.0
3.1,75.7,61.5,56.7,7.7,medium,4.1,0,high,78.6
4.3,83.8,71.4,75.1,7.6,medium,1.8,1,low,99.0
5.9,78.1,70.8,85.1,6.7,high,2.5,0,high,99.0
5.4,86.7,67.5,100.0,5.3,medium,2.4,0,low,99.0
4.1,74.5,65.9,71.4,7.6,medium,3.1,1,high,99.0
4.5,82.2,71.9,70.3,6.3,medium,6.6,0,low,99.0
2.5,88.5,71.4,79.2,7.3,low,6.9,0,medium,96.6
4.3,73.9,57.4,85.3,7.3,medium,4.9,1,medium,99.0
4.3,77.0,81.4,77.7,5.0,medium,3.6,0,medium,99.0
5.1,80.5,58.3,95.7,7.2,high,0.9,0,medium,99.0
3.8,69.7,68.2,68.0,7.7,high,3.8,1,medium,99.0
5.5,79.8,67.2,81.8,7.8,low,2.0,1,medium,99.0
6.3,85.2,75.7,86.7,7.2,low,6.3,1,low,99.0
4.9,80.0,43.5,74.0,4.9,medium,0.5,0,high,99.0
5.3,81.3,82.6,92.6,8.5,medium,4.1,1,low,99.0
4.8,83.8,62.2,82.2,7.6,medium,1.8,1,medium,99.0
4.7,77.4,86.9,91.8,5.8,medium,3.4,0,low,99.0
3.5,90.9,64.8,82.9,6.2,medium,4.6,0,medium,99.0
5.2,98.4,70.4,85.6,7.4,high,5.2,0,medium,99.0
4.5,79.4,95.9,70.5,7.8,medium,3.3,0,high,99.0
8.0,88.9,67.4,70.5,6.6,low,4.8,1,medium,99.0
7.2,81.6,87.1,98.4,8.0,medium,2.2,1,low,99.0
5.3,87.7,71.5,89.5,5.1,medium,3.8,0,high,99.0
3.5,99.7,76.4,64.7,6.0,medium,5.2,1,low,99.0
2.9,89.1,71.9,82.7,4.8,medium,4.0,1,medium,99.0
6.6,66.3,82.0,44.4,6.1,medium,2.4,0,medium,99.0
5.1,88.5,62.1,71.4,8.8,high,2.9,1,high,99.0
5.5,96.3,58.2,94.4,9.4,high,5.2,1,high,99.0
1.9,81.8,62.7,78.1,7.4,medium,1.4,0,high,84.1
6.2,94.0,72.3,81.8,6.4,low,1.7,0,low,99.0
5.4,77.1,68.1,34.8,6.9,medium,4.5,1,low,99.0
2.9,69.1,80.2,74.1,7.6,medium,2.6,1,high,99.0
3.9,85.4,88.0,85.1,5.4,high,0.8,0,medium,99.0
5.1,66.4,58.3,87.0,6.5,medium,5.8,0,medium,99.0
4.8,81.6,61.5,94.4,8.7,medium,1.4,1,high,99.0
4.2,96.9,52.3,76.8,5.9,high,3.0,1,low,99.0
4.5,64.9,97.4,77.5,6.3,medium,2.3,0,medium,99.0
4.3,71.2,75.0,60.0,7.1,medium,2.9,1,high,99.0
4.9,73.7,77.2,76.9,7.4,medium,1.8,1,medium,99.0
7.1,83.4,53.6,61.1,6.4,medium,4.7,1,high,99.0
0.6,80.3,71.0,52.3,7.2,medium,3.6,1,medium,70.9
4.3,98.0,77.6,63.7,7.8,high,5.2,1,medium,99.0
5.0,93.5,67.7,100.0,9.3,medium,2.3,1,high,99.0
5.2,89.0,85.0,75.9,7.0,medium,7.2,0,high,99.0
4.1,85.5,99.0,83.3,7.1,low,0.0,1,high,99.0
1.9,87.9,58.7,72.3,8.8,low,0.5,1,medium,86.6
5.2,75.4,57.7,53.1,6.5,medium,6.6,1,medium,99.0
7.5,92.6,59.6,94.0,5.6,high,4.3,0,medium,99.0
2.2,72.9,91.9,47.4,7.4,medium,4.0,1,medium,99.0
6.1,92.4,84.6,71.7,8.3,medium,4.2,1,high,99.0
4.2,95.9,69.2,79.2,7.5,low,4.4,0,high,99.0
4.6,86.1,71.5,83.5,7.0,medium,3.9,0,medium,99.0
3.0,82.2,60.4,69.1,5.5,medium,1.7,0,high,87.7
4.2,88.0,82.6,52.4,7.0,high,4.9,1,medium,99.0
6.8,55.4,66.1,68.0,8.5,medium,4.6,1,high,99.0
5.6,87.0,67.6,68.8,5.7,high,6.0,1,medium,99.0
7.5,82.9,78.9,68.4,6.8,high,6.6,0,high,99.0
6.6,83.5,68.6,94.6,6.7,medium,4.0,1,high,99.0
5.4,91.1,67.9,61.8,6.3,medium,1.2,1,medium,99.0
7.5,83.3,71.1,84.5,7.4,high,6.6,1,high,99.0
5.4,72.6,81.3,82.4,7.6,high,1.6,0,medium,99.0
6.0,82.6,92.4,94.4,7.6,medium,4.0,1,high,99.0
4.2,84.7,78.6,78.0,6.0,medium,2.9,1,low,99.0
4.8,85.1,81.4,91.9,5.3,medium,2.6,0,low,99.0
3.6,85.6,68.4,77.4,7.4,high,4.8,0,high,99.0
6.3,94.4,61.8,86.5,6.5,high,3.8,0,high,99.0
2.8,73.1,79.5,57.5,9.1,high,4.3,0,high,97.7
6.0,85.8,73.2,40.4,9.2,low,1.9,1,medium,99.0
4.4,96.9,52.5,85.7,9.3,medium,3.1,0,low,99.0
6.6,66.7,66.7,86.5,6.1,high,2.0,1,medium,99.0
5.9,85.8,69.9,87.1,7.7,medium,3.0,0,high,99.0
7.6,78.1,64.4,72.1,8.1,high,3.2,1,high,99.0
5.9,80.3,90.3,100.0,7.9,medium,6.7,0,high,99.0
2.2,75.0,77.2,73.1,6.7,high,2.9,1,medium,93.7
4.6,82.3,88.9,86.3,8.5,medium,0.0,1,high,99.0
2.8,100.0,74.4,88.9,7.1,low,5.9,1,low,99.0
3.9,71.4,72.1,100.0,7.2,low,4.2,0,high,99.0
7.1,72.3,58.8,75.2,5.4,high,3.2,1,medium,99.0
5.7,71.0,71.2,70.2,7.8,low,2.6,0,medium,99.0
3.6,100.0,71.2,57.5,6.8,high,1.7,1,medium,99.0
3.1,79.4,53.2,100.0,7.6,medium,6.9,0,high,86.1
4.8,83.7,64.0,86.3,7.4,medium,3.5,0,medium,99.0
2.8,80.0,66.8,86.8,7.3,medium,0.3,1,low,99.0
3.6,74.6,76.4,100.0,7.0,high,4.0,0,high,99.0
5.2,81.6,77.0,84.9,8.0,high,5.6,0,high,99.0
6.5,100.0,63.4,60.5,6.9,high,3.7,0,medium,99.0
5.7,97.9,77.1,77.1,5.5,high,1.8,1,low,99.0
1.0,75.5,68.6,65.4,7.7,medium,1.6,0,medium,76.1
5.2,90.5,35.0,74.1,6.2,high,1.7,1,low,99.0
4.8,75.7,64.7,74.0,5.6,medium,6.1,1,medium,99.0
5.4,66.2,85.0,71.2,6.0,medium,3.3,1,low,99.0
7.3,94.2,49.1,59.1,7.4,medium,0.4,0,medium,99.0
1.4,95.6,72.5,100.0,7.0,medium,4.1,0,medium,96.3
3.8,94.5,91.6,84.5,4.8,high,3.7,1,low,99.0
5.6,79.3,61.1,76.6,6.7,medium,2.6,1,medium,99.0
2.2,82.3,71.0,91.4,8.4,high,1.6,1,medium,98.2
7.1,91.5,54.0,87.1,6.6,high,1.5,0,medium,99.0
5.3,87.9,92.2,84.1,6.9,medium,5.4,0,low,99.0
6.1,80.1,69.9,90.3,8.2,low,3.8,0,medium,99.0
3.8,67.8,71.6,82.0,8.0,medium,4.3,0,high,99.0
6.0,85.1,88.6,90.1,8.2,low,3.8,0,high,99.0
6.4,94.8,79.6,91.3,4.1,high,4.0,1,medium,99.0
5.1,72.0,59.6,82.4,9.0,medium,2.6,1,high,99.0
5.1,90.4,62.6,76.7,7.8,medium,3.0,1,high,99.0
5.1,87.3,77.4,100.0,9.8,medium,5.5,0,medium,99.0
3.3,91.5,62.9,72.8,6.2,medium,5.9,0,medium,95.1
4.5,92.7,43.5,85.9,5.2,medium,1.2,1,low,99.0
4.5,77.1,70.3,86.2,7.1,medium,3.0,1,medium,99.0
5.3,67.8,51.8,70.9,6.8,medium,4.9,1,medium,99.0
6.3,78.7,92.0,67.9,7.8,high,6.8,0,medium,99.0
3.0,92.9,73.3,74.7,8.3,low,6.6,1,high,93.9
4.5,78.6,59.2,72.6,7.0,medium,2.0,0,low,99.0
7.1,77.1,61.9,58.1,6.8,low,5.7,1,medium,99.0
3.5,65.8,46.4,70.2,7.7,medium,3.5,0,high,82.3
3.4,100.0,56.7,84.0,6.8,low,5.3,0,medium,94.7
5.0,92.3,84.2,99.0,6.7,high,4.8,1,low,99.0
6.1,91.7,99.0,88.3,8.2,low,1.1,0,high,99.0
4.7,93.7,80.4,41.0,8.5,medium,4.4,1,medium,99.0
6.8,89.8,69.8,89.6,8.3,medium,5.2,0,low,99.0
6.1,81.6,65.4,71.6,6.9,medium,3.4,1,medium,99.0
6.0,82.4,58.6,86.8,4.7,low,3.0,0,medium,99.0
5.6,79.7,97.8,79.8,6.9,high,0.6,1,high,99.0
8.4,100.0,68.5,77.1,6.3,high,4.6,0,low,99.0
4.4,89.6,98.5,78.5,7.0,medium,3.8,1,high,99.0
1.5,79.4,89.1,79.7,6.4,high,1.7,0,low,98.2
7.3,88.7,48.4,100.0,7.1,medium,2.8,1,high,99.0
4.0,73.9,62.3,79.7,6.0,medium,3.7,1,low,99.0
4.9,99.0,62.3,96.3,5.7,high,2.4,0,high,99.0
6.8,77.4,70.0,94.1,8.4,low,3.4,1,low,99.0
2.1,89.0,70.2,90.0,6.0,medium,0.3,1,high,99.0
2.7,94.7,99.0,53.2,7.1,low,5.8,0,high,89.0
2.1,87.8,57.0,96.7,8.1,medium,3.4,1,medium,89.7
3.4,84.9,74.0,73.1,8.1,medium,1.4,0,low,99.0
5.4,84.1,79.0,90.7,8.0,high,0.0,1,medium,99.0
5.5,83.4,71.0,65.4,7.4,medium,5.3,0,medium,99.0
5.1,78.2,72.4,62.2,7.9,high,4.4,0,medium,99.0
2.4,79.5,57.4,100.0,8.6,low,3.8,1,medium,82.8
1.0,98.8,72.4,65.6,7.6,medium,5.0,1,high,72.6
4.8,82.9,77.6,97.2,5.1,medium,4.9,0,high,99.0
3.9,76.1,75.3,81.8,6.5,low,3.7,0,medium,94.5
5.4,78.8,78.4,73.7,7.9,low,2.9,1,low,99.0
5.8,95.0,89.4,79.3,6.4,medium,2.6,1,low,99.0
